,Work Order,Type,Description,Status,Organization,Dept.,Equipment,Responsible Dept,Date Reported,Reported By,Sched. Start Date,Sched. End Date,Date Completed,Date Created,PM Code,Standard WO,Assigned To
39,914693,Breakdown-Prodn Equip Cannot Run,oil leak from core rod,Completed,PMDA,D04,M02250,MT,2024-04-08 09:33:00,LBRUZAS,4/8/2024,4/8/2024,4/8/2024 9:35,4/8/2024,,,
40,914484,Breakdown-Prodn Equip Cannot Run,air leak ,Completed,PMDA,D17C,M06839,MT,2024-04-06 16:56:00,RMALONEY,4/6/2024,4/6/2024,4/6/2024 16:59,4/6/2024,,,
41,914274,"Corrective Maint-Restore Prodn Equip to ""Normal"" Operating State",Leak to be repaired at the end of wash,Completed,PMDA,D21B,M06750,MT,2024-04-05 12:15:00,,4/21/2024,4/21/2024,4/21/2024 14:30,4/5/2024,,,MMOORE
42,914179,Breakdown-Prodn Equip Cannot Run,Air leak ,Completed,PMDA,D11,M04560,MT,2024-04-05 02:54:00,OESCOBAR,4/5/2024,4/5/2024,4/5/2024 5:53,4/5/2024,,,
43,914028,"Corrective Maint-Restore Prodn Equip to ""Normal"" Operating State",Hydraulic oil is leaking through chuck inside machine,Requested Work,PMDA,D19A,M09820,MT,2024-04-04 12:08:00,AVORA,4/4/2024,4/4/2024,,4/4/2024,,,
44,913696,Breakdown-Prodn Equip Cannot Run,COMPRESSOR 8059 HAS AIR LEAK AT JCI FITTING,Completed,PMDA,D53,M08059,MT,2024-04-03 09:35:00,EHAMMILL,4/3/2024,4/3/2024,4/3/2024 14:14,4/3/2024,,,
45,913491,Plant Equip Related Work,RO WATER LEAK BETWEEN 1010 AND 1011 AGAIN,Released,PMDA,D13C,M01011,MT,2024-04-02 13:53:00,EHAMMILL,4/2/2024,4/2/2024,,4/2/2024,,,
46,913385,Breakdown-Prodn Equip Cannot Run,M09905 Oil leak @ rotray union,Cancelled,PMDA,D21B,M09905,MT,2024-04-02 09:22:00,SBATHURST,4/19/2024,4/19/2024,4/20/2024 5:37,4/2/2024,,,MDUARTE
47,913271,Breakdown-Prodn Equip Cannot Run,2630 bottom platen quick exhaust valve leaking,Completed,PMDA,D03,M02630,MT,2024-04-01 14:24:00,KFAIRWEATHER,4/1/2024,4/1/2024,4/1/2024 14:28,4/1/2024,,,
48,913181,"Corrective Maint-Restore Prodn Equip to ""Normal"" Operating State",2250.03H Rebuild (leaking),Hold,PMDA,D04,M02250.03H,MT,2024-04-01 10:55:00,JSINGH,4/1/2024,4/1/2024,,4/1/2024,,,
