,Work Order,Type,Description,Status,Organization,Dept.,Equipment,Responsible Dept,Date Reported,Reported By,Sched. Start Date,Sched. End Date,Date Completed,Date Created,PM Code,Standard WO,Assigned To
267,908173,Preventive/Predictive Maintenance,"2000 HR FORKTRUCK MAJOR PM  ""D""-CROWN-HYD OIL&FILTER,TUNE-UP,AIR FILTER",Released,PMDA,D52,M08503,MT,2024-05-27 10:03:00,,6/13/2024,7/7/2024,,3/6/2024,PM0122H2000Q,,CONM
268,924866,Preventive/Predictive Maintenance,ICS COOLANT CHILLER PM INSPECTION,Released,PMDA,D52,M08205,MT,2024-05-27 10:03:00,,6/12/2024,6/16/2024,,5/15/2024,PM0099W4,,EHAMMILL
269,927532,Preventive/Predictive Maintenance,"AIR COMPRESSOR, CITY WATER BACKUP PM",Released,PMDA,D53,M08071,MT,2024-05-27 10:03:00,,6/4/2024,6/6/2024,,5/27/2024,PM0306,,EHAMMILL
270,927531,Preventive/Predictive Maintenance,"10046W2,BI-WEEKLY GD AIR DRYER PW INLET FILTER CHANGE",Released,PMDA,D53,M08068,MT,2024-05-27 10:03:00,,6/17/2024,6/19/2024,,5/27/2024,10046,,EHAMMILL
274,927529,Preventive/Predictive Maintenance,MACHINE COOLANT CHANGE & CLEANOUT  INDUCTION HARDENER PM TASK,Released,PMDA,D18A,M07220,MT,2024-05-27 10:03:00,,6/17/2024,6/20/2024,,5/27/2024,CO10051,,NSIMON
275,927528,Preventive/Predictive Maintenance,MACHINE COOLANT CHANGE & CLEANOUT  INDUCTION HARDENER PM TASK,Released,PMDA,D18A,M07220,MT,2024-05-27 10:03:00,,6/10/2024,6/13/2024,,5/27/2024,CO10051,,NSIMON
278,916575,Preventive/Predictive Maintenance,GENERIC WASHER COOLANT CHANGEOUT & CLEANING,Released,PMDA,D21A,M06648,MT,2024-05-27 10:03:00,,6/10/2024,6/15/2024,,4/15/2024,CO0007W13,,NSIMON
283,908406,Preventive/Predictive Maintenance,13 WEEK MACHINE COOLANT FLUSH  & CLEANING,Released,PMDA,D21A,M06645,MT,2024-05-27 10:03:00,,6/6/2024,6/12/2024,,3/7/2024,CO0015W13,,NSIMON
299,908254,Preventive/Predictive Maintenance,COOLANT TANK CLEANOUT PM,Released,PMDA,D16B,M05150,MT,2024-05-27 10:03:00,,6/5/2024,6/11/2024,,3/6/2024,CO10076W13,,VNESTEROV
364,927466,Preventive/Predictive Maintenance,AIR FILTER CHANGE,Released,PMDA,D60,C61,MT,2024-05-27 10:03:00,,6/17/2024,6/17/2024,,5/27/2024,PM0174W1,,ANY
366,927463,Preventive/Predictive Maintenance,AIR FILTER CHANGE,Released,PMDA,D60,C61,MT,2024-05-27 10:03:00,,6/10/2024,6/10/2024,,5/27/2024,PM0174W1,,ANY
374,927413,Preventive/Predictive Maintenance,BI-WEEKLY COMPRESSOR & AIR DRYER FILTER MEDIA CHANGE,Released,PMDA,D53,C53,MT,2024-05-27 10:03:00,,6/10/2024,6/12/2024,,5/27/2024,PM0203W2,,EHAMMILL
404,927099,Breakdown-Prodn Equip Cannot Run,Air leak ,Completed,PMDA,D19B,M06301,MT,2024-05-25 22:52:00,OESCOBAR,5/25/2024,5/25/2024,5/25/2024 22:53,5/25/2024,,,
414,926982,Breakdown-Prodn Equip Cannot Run,repair air line ,Completed,PMDA,D21A,M04031,MT,2024-05-24 17:35:00,JPATTEN,5/24/2024,5/24/2024,5/24/2024 17:37,5/24/2024,,,
415,926980,"Corrective Maint-Restore Prodn Equip to ""Normal"" Operating State",repair blow off gun ,Completed,PMDA,D21A,M09940,MT,2024-05-24 17:35:00,JPATTEN,5/24/2024,5/24/2024,5/24/2024 17:37,5/24/2024,,,
417,926967,"Corrective Maint-Restore Prodn Equip to ""Normal"" Operating State",4004 low coolant flow.,Completed,PMDA,D19B,M04004,MT,2024-05-24 17:22:00,MDUARTE,5/24/2024,5/24/2024,5/24/2024 17:24,5/24/2024,,,
428,926719,Breakdown-Prodn Equip Cannot Run,return coolant blocked ,Completed,PMDA,D17A,M06325,MT,2024-05-24 03:55:00,MMOORE,5/24/2024,5/24/2024,5/24/2024 3:58,5/24/2024,,,
430,926713,"Corrective Maint-Restore Prodn Equip to ""Normal"" Operating State",Coolant leak under the machine,Requested Work,PMDA,D19B,M04030,MT,2024-05-24 02:10:00,GARNOLD,5/24/2024,5/24/2024,,5/24/2024,,,
432,926708,"Corrective Maint-Restore Prodn Equip to ""Normal"" Operating State",Coolant leak on the ceiling big pipe between 4030 and 576,Requested Work,PMDA,D19B,M04030,MT,2024-05-24 01:36:00,GARNOLD,5/24/2024,5/24/2024,,5/24/2024,,,
447,926617,Safety,WSA to repair leak in coil and recharge,Hold,PMDA,D58,M08155AC16,MT,2024-05-23 09:07:00,SMCLELLAN,5/23/2024,5/23/2024,,5/23/2024,,,
451,926598,"Corrective Maint-Restore Prodn Equip to ""Normal"" Operating State",2345 - Air Knife not working at Press 2340,Originator Review,PMDA,D03,M02345,MT,2024-05-23 08:18:00,JLAMONT,5/26/2024,5/26/2024,5/26/2024 18:09,5/23/2024,,,GPINK
457,926504,"Corrective Maint-Restore Prodn Equip to ""Normal"" Operating State",Coolant leak underneath 4032,Released,PMDA,D21A,M04032,MT,2024-05-23 00:56:00,GARNOLD,6/7/2024,6/7/2024,,5/23/2024,,,OESCOBAR
460,926489,Breakdown-Prodn Equip Cannot Run,"3995 safety air valve leaking, Also electrical issue.",Completed,PMDA,D08,M03990,MT,2024-05-22 17:44:00,MDUARTE,5/22/2024,5/22/2024,5/22/2024 17:48,5/22/2024,,,
508,925948,Breakdown-Prodn Equip Cannot Run,spindle 1 sealing air pressure missing ,Completed,PMDA,D21B,M09905,MT,2024-05-20 16:15:00,JPATTEN,5/20/2024,5/20/2024,5/21/2024 17:14,5/20/2024,,,
512,925932,Breakdown-Prodn Equip Cannot Run,multiple air leaks,Completed,PMDA,D10,M02930,MT,2024-05-20 13:59:00,LBRUZAS,5/20/2024,5/20/2024,5/24/2024 6:37,5/20/2024,,,
517,925843,Breakdown-Prodn Equip Cannot Run,air leaks ,Completed,PMDA,D19B,M04207,MT,2024-05-20 00:55:00,RMALONEY,5/20/2024,5/20/2024,5/20/2024 0:58,5/20/2024,,,
541,925496,"Corrective Maint-Restore Prodn Equip to ""Normal"" Operating State",Dock Door Repairs Found During PM,Released,PMDA,D58,C58,MT,2024-05-17 10:46:00,SCURRAN,5/17/2024,5/31/2024,,5/17/2024,,,CONM
544,925469,Breakdown-Prodn Equip Cannot Run,air line broken in machine ,Completed,PMDA,D19B,M04030,MT,2024-05-17 06:13:00,JPATTEN,5/17/2024,5/17/2024,5/17/2024 6:15,5/17/2024,,,
564,925216,"Corrective Maint-Restore Prodn Equip to ""Normal"" Operating State",234 weigh checker needs an air knife installed for servo auto adjust to work,Originator Review,PMDA,D03,M02345,MT,2024-05-16 09:01:00,KTRIPNEY,5/20/2024,5/20/2024,5/21/2024 6:26,5/16/2024,,,LDAVIE
572,925159,Breakdown-Prodn Equip Cannot Run,Coolant flow,Completed,PMDA,D21B,M06070,MT,2024-05-16 05:34:00,RADAMS,5/16/2024,5/16/2024,5/16/2024 5:35,5/16/2024,,,
581,925085,Breakdown-Prodn Equip Cannot Run,Coolant flow alarm,Completed,PMDA,D18A,M09200,MT,2024-05-15 15:33:00,OESCOBAR,5/15/2024,5/15/2024,5/15/2024 18:10,5/15/2024,,,
591,925038,Breakdown-Prodn Equip Cannot Run,Coolant return pump motor,Completed,PMDA,D22B,M00584,MT,2024-05-15 12:53:00,SMCLELLAN,5/15/2024,5/15/2024,5/16/2024 18:22,5/15/2024,,,
599,924987,Preventive/Predictive Maintenance,BIOCIRCLE COOLANT SERVICE 13 WK ,Completed,PMDA,D10,M11026,MT,2024-05-15 11:00:00,,6/3/2024,6/7/2024,6/4/2024 8:14,5/15/2024,CO10088W13,,NSIMON
606,841756,Preventive/Predictive Maintenance,13 WEEK MACHINE COOLANT FLUSH  & CLEANING,Released,PMDA,D17A,M09630,MT,2024-05-15 11:00:00,,6/3/2024,6/7/2024,,6/6/2023,CO0015W13,,NSIMON
608,920995,Preventive/Predictive Maintenance,FLOWCON COOLANT SYSTEM PM INSPECTION,Completed,PMDA,D52,M08250,MT,2024-05-15 11:00:00,,5/28/2024,6/1/2024,5/29/2024 8:02,4/30/2024,PM0097W4,,NSIMON
609,924979,Preventive/Predictive Maintenance,"10046W2,BI-WEEKLY GD AIR DRYER PW INLET FILTER CHANGE",Released,PMDA,D53,M08068,MT,2024-05-15 11:00:00,,6/3/2024,6/5/2024,,5/15/2024,10046,,EHAMMILL
613,924976,Preventive/Predictive Maintenance,MACHINE COOLANT CHANGE & CLEANOUT  INDUCTION HARDENER PM TASK,Completed,PMDA,D18A,M07220,MT,2024-05-15 11:00:00,,6/3/2024,6/6/2024,6/4/2024 8:13,5/15/2024,CO10051,,NSIMON
673,924946,Preventive/Predictive Maintenance,AIR FILTER CHANGE,Released,PMDA,D60,C61,MT,2024-05-15 10:59:00,,6/3/2024,6/3/2024,,5/15/2024,PM0174W1,,ANY
682,924872,"Corrective Maint-Restore Prodn Equip to ""Normal"" Operating State",coolant leak in drip pan ,Requested Work,PMDA,D19B,M06022,MT,2024-05-15 08:23:00,JLE,5/15/2024,5/15/2024,,5/15/2024,,,
718,924199,Plant Equip Related Work,REPAIR LEAKING WASTE WATER LINE AT END OF 1008 STEAMER,Completed,PMDA,D52,C52,MT,2024-05-13 07:13:00,EHAMMILL,5/13/2024,5/13/2024,5/13/2024 7:15,5/13/2024,,,
751,923720,Breakdown-Prodn Equip Cannot Run,low coolant flow,Completed,PMDA,D21B,M09905,MT,2024-05-09 22:23:00,RMALONEY,5/9/2024,5/9/2024,5/10/2024 3:01,5/9/2024,,,
791,923536,Preventive/Predictive Maintenance,MACHINE COOLANT CHANGE & CLEANOUT  INDUCTION HARDENER PM TASK,Completed,PMDA,D18A,M07220,MT,2024-05-09 08:51:00,,5/27/2024,5/30/2024,5/28/2024 7:40,5/9/2024,CO10051,,NSIMON
794,905415,Preventive/Predictive Maintenance,GENERIC WASHER COOLANT CHANGEOUT & CLEANING,Completed,PMDA,D21B,M06750,MT,2024-05-09 08:51:00,,5/27/2024,5/31/2024,5/30/2024 7:47,2/22/2024,CO0007W13,,NSIMON
836,923503,Preventive/Predictive Maintenance,AIR FILTER CHANGE,Completed,PMDA,D60,C61,MT,2024-05-09 08:51:00,,5/27/2024,5/27/2024,5/28/2024 13:31,5/9/2024,PM0174W1,,ANY
844,923467,Preventive/Predictive Maintenance,BI-WEEKLY COMPRESSOR & AIR DRYER FILTER MEDIA CHANGE,Completed,PMDA,D53,C53,MT,2024-05-09 08:51:00,,5/27/2024,5/29/2024,6/3/2024 13:25,5/9/2024,PM0203W2,,EHAMMILL
