Work Order,Type,Description,Status,Organization,Dept.,Equipment,Responsible Dept,Date Reported,Reported By,Sched. Start Date,Sched. End Date,Date Completed,Date Created,PM Code,Standard WO,Assigned To
900801,Breakdown-Prodn Equip Cannot Run,Air leak out of regulator,Completed,PMDA,D03,M02340,MT,1/30/2024 5:51,LDAVIE,1/30/2024,1/30/2024,1/30/2024 13:32,1/30/2024,,,
900664,Breakdown-Prodn Equip Cannot Run,2460 top lift cylinder leaking,Completed,PMDA,D02,M02460,MT,1/29/2024 12:20,KFAIRWEATHER,1/29/2024,1/29/2024,1/29/2024 12:23,1/29/2024,,,
900246,"Corrective Maint-Restore Prodn Equip to ""Normal"" Operating State",10099 air leak,Completed,PMDA,D20,M10099,MT,1/28/2024 5:58,MDUARTE,1/28/2024,1/28/2024,1/28/2024 6:01,1/28/2024,,,
899972,"Corrective Maint-Restore Prodn Equip to ""Normal"" Operating State",Water line leaking above 6150 Washer,Completed,PMDA,D16C,M06150,MT,1/26/2024 3:24,GARNOLD,1/26/2024,1/26/2024,3/8/2024 13:57,1/26/2024,,,
899932,Breakdown-Prodn Equip Cannot Run, MET PRESS Breakdown Water Leak ,Originator Review,PMDA,D20,M10228,MT,1/25/2024 15:38,MSHBEH,3/8/2024,3/10/2024,4/13/2024 11:58,1/25/2024,,,
899928,"Corrective Maint-Restore Prodn Equip to ""Normal"" Operating State",Filler Leaking dripping on the back platform,Completed,PMDA,D06,M02100,MT,1/25/2024 15:21,JSINGH,1/25/2024,1/25/2024,2/28/2024 15:06,1/25/2024,,,
899756,Breakdown-Prodn Equip Cannot Run,Fitting Leaking,Completed,PMDA,D21A,M06645,MT,1/24/2024 17:43,LDAVIE,1/24/2024,1/24/2024,1/24/2024 17:44,1/24/2024,,,
899603,Breakdown-Prodn Equip Cannot Run,upper ram rapid motion leaking,Completed,PMDA,D04,M02250,MT,1/24/2024 8:02,LBRUZAS,1/24/2024,1/24/2024,4/6/2024 12:06,1/24/2024,,,
899566,"Corrective Maint-Restore Prodn Equip to ""Normal"" Operating State","Leaking LUBE oil, have to refill every other day, causing servo X  alarms.",Completed,PMDA,D22B,M00579,MT,1/24/2024 6:24,JCHEEMA,1/31/2024,1/31/2024,2/5/2024 15:07,1/24/2024,,,RMALONEY
899463,Breakdown-Prodn Equip Cannot Run,coolant leaking,Completed,PMDA,D16B,M09000,MT,1/23/2024 14:30,MMOORE,1/23/2024,1/23/2024,1/23/2024 14:37,1/23/2024,,,
899262,"Corrective Maint-Restore Prodn Equip to ""Normal"" Operating State",Fix leaks coming from 9000,Ready to Schedule,PMDA,D16B,M09000,MT,1/23/2024 5:21,GARNOLD,1/23/2024,1/23/2024,,1/23/2024,,,
899256,Breakdown-Prodn Equip Cannot Run,air leak ,Completed,PMDA,D21A,M09995,MT,1/23/2024 1:51,RMALONEY,1/23/2024,1/23/2024,1/23/2024 1:53,1/23/2024,,,
899015,Breakdown-Prodn Equip Cannot Run,right coil leaking,Completed,PMDA,D15A,M07200,MT,1/21/2024 18:30,CSAVA,1/21/2024,1/21/2024,1/21/2024 18:32,1/21/2024,,,
898840,Breakdown-Prodn Equip Cannot Run,Coolant Leak,Completed,PMDA,D21C,M09922,MT,1/19/2024 17:47,LDAVIE,1/19/2024,1/19/2024,1/19/2024 17:53,1/19/2024,,,
898528,Breakdown-Prodn Equip Cannot Run,2380 core rod gland leaking bye,Ready to Schedule,PMDA,D01,M02380,MT,1/18/2024 12:57,KFAIRWEATHER,1/18/2024,1/18/2024,,1/18/2024,,,
